Text,Actual,Predicted
Gw bingung kenapa sebelah sana kayak marahin kaca. Selalu tuduh Anies ga ada kinerja lah padahal yg nanam singkong aja gagal siapa. Nuduh korup lah itu kayu babat hutan utk food estate dijual diem2 masuk kantong siapa? Lalu siapa yg beli alutsista rongsok demi persenan? Ngaca!!,negative,negative
jadilah pemilih yang rasional obyektif dan logis dan cek apakah ini Perlu Perubahan apa nasibnya sama aja seperti sekarang. klop GENG Z warga pasar dan disabilitas PEKANBARU ingin Perubahan @aniesbaswedan @cakimiNOW Desak Anies https://t.co/RohapnTTay,positive,positive
@arivmagami @Heraloebss @gibran_tweet @prabowo @golkar_id @Gerindra @datuakrajoangek @psi_id Y haruse gt ya..step by step. Tp sayang waktu tdk memungkinksn Bapakny ud hrs lengser th dpn Maka sat set mumpung smua pihk bs di koordinasikan ayo ayo buruan naik. Kl besok2 nasibe kyk ahy nanti. Semua anaknya di posisikan tepat kyk bidak catur *sy pemilih netral,positive,positive
@wonwoongg @PutuSambernyawa @faridaindria @papakiera Bukan fakta baru tapi fakta lama yang selalu ingin ditutupi oleh Prabowo dan tim nya. Prabowo memakai cara kampanye ala bong bong marcos. Google deh siapa dia dan apa metode kampanyenya. Mirip.,negative,negative
Ganjar Pranowo Bela Ahok: Insya Allah Beliau Jujur https://t.co/6r8iBmChBe,positive,positive
Prabowo solutaf solutif melulu. Ga visioner jangka panjang jadi yang instan2 aje,positive,positive
@JokoLipService @prabowo woi.... pak/bu admin tlng bilangin ke pak prabowo ini pesan bagus nih.... tinggal ibadah olah raga jaga kesehatan,positive,positive
Dan terjadi lagi.... *Maafkan aku usus https://t.co/AJBcOXpY0Q,positive,positive
Mas Anies Mas Anies.. Pukulan telak Prabowo untuk Anies tentang topik demokrasi https://t.co/YYTR5RQISJ,negative,negative
Debat Cawapres Kapan? Apakah Gibran Rakabuming Akan Adu Gagasan dengan Mahfud MD dan Cak Imin? https://t.co/wfImUooyhs,neutral,neutral
Usul Tanya Jawab di Debat Kedua Diperbanyak Ganjar: Publik Ingin Dengar Jawaban Spontan Cawapres https://t.co/p3d63aes8V,positive,positive
coba review debat dr pov kalian (honest review)!! anis ok the way dia argue prabowo joget gemoynya kinda over apalagi di issue yg sensitif hehe ganjar ok jg tp dosa dia ttg wadas blm kesentuh hihi,positive,positive
 Saya tidak akan menjadi bagian yang menghianati pak Prabowo Subianto Anies Baswedan. Nyatanya bukan hanya jadi penghianat tapi juga berusaha menikam pribadinya Prabowo dengan tata kata ganas beringas sungguh manusia tak berakhlak... cermin musang berbulu domba ...sadis !! https://t.co/AvtamUy02N,negative,negative
Aku setuju. Bedanya kali ini mindset publik yg harus kita ubah. Kita milih pak Anies bukan untuk nyembah dia ketika berkuasa. Tapi memastikan agar kebijakan beliau direalisasikan. Dalam hal ini aku cukup confident pak Anies lebih terbuka sama kritik. Beda dgn pak Jokowi. ,positive,positive
Ini mirip pertanyaan rakyat Singapura ke pemimpinnya bagaimana mengatasi kabut asap akibat hutan terbakar. Pak Prabowo sedang diajari Anies tentang statistik lingkungan. Pake data ilmiah Penerapannya ilmiah seperti yg telah dilakukan di DKI. Sampe sini paham ? https://t.co/y69BqhNLbw,positive,positive
Konser yang penuh sesak di GBK menandakan bahwa Ganjar - Mahfud benar-benar menjadi magnet bagi pendukungnya . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @wibsterr #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/afYrFZXKER,positive,positive
PRABOWO GIBRAN SATU PUTARAN️,positive,positive
akhirnya mengakui bahwa program Ganjar-Mahfud soal Internet GRATIS itu program yang bagus. Dan apapun temanya makan gratis jawabanya #TOPGANSATS3T #GanjarMahfud2024 #GanjarMahfudM3nangDebat https://t.co/W5opMc9Km8,positive,positive
Ahok Anies cm jd korban penguasa akhirnya kebenaran terungkap,positive,positive
Didukung Habib Rizieq Forum Ijtima Ulama Resmi Dukung Anies-Cak Imin - https://t.co/jU8foS5F6P,positive,positive
belsa bisa ngencing di celana kalau berhadapan dengan cak imin dan pak mahfud....kalah segala galanya ane rasa timsesnya banyak yg tidak hadir di tgl 22 nanti... hadir sama saja bunuh diri.. 🇮🇩,negative,negative
Mungkin hal di atas tidak bisa digunakan untuk menjerat beliau tapi itu jelas memberikan contoh yang buruk buat demokrasi. Nanti siapapun yang jadi menteri lalu mau nyapres mereka tinggal bilang Saya mengikuti jejak Prabowo . https://t.co/2Hxwsc9qhg,positive,positive
Banyuwangi petjaaah sambut Ganjar Pranowo... Benar² menyala #GanjarMahfud2024 https://t.co/Fx9Wghb3jA,positive,positive
Paslon mewakili anak muda tapi nggak mewakili banget. Mending pilih kelapa muda bisa pilih yang kelapa tua atau kelapa muda? Sudah itu bagi-bagi susu emangnya sales Cimory? Nggak usah di adakan acara desak Prabowo naik tangga panggung aja sudah susah di desak ambruk‼️,negative,negative
KAMERANYA ANJING,negative,negative
@Hasbil_Lbs Mimpi kali ye....semoga aja sehat sehat saja,positive,positive
Perkawinan konglomerat dan politisi adalah jenis pesta yang megah ia adalah jenis orkestra yang hanya bisa dijalankan oleh mereka yang berpengalaman. Prabowo-Gibran adalah pemilik hajat di orkes oligarki ini. Baca reportase @deduktifid ⤵️ #PemiluMemilukan https://t.co/cKTI9xo5dM,positive,positive
Saat banyak anak muda tumbuh dalam kondisi menghadapi fatherless issues di negara ini such a relieve to see Pak Anies &amp; Pak Ganjar menunjukkan relasi hangat dengan anak-anaknya. Bu Atiqoh bercerita pas dia harus kuliah ke Jepang Pak Ganjar bilang gak apa2 dia yg jaga Alam.,positive,positive
Kritik terhadap Anis Baswedan semakin nyaring karena dianggap tidak konsisten dengan prinsip-prinsip dasar demokrasi. #KingOfRetorika PemantikKonflik Demokrasi https://t.co/Qi44J8Mqsn,neutral,negative
Survei Bebas Non Bayaran Di You Tube Paslon GANJAR - MAHFUD MD Menang Total. Untuk Pendukung Ganjar Kalian Jangan Gentar Tetaplah Semangat Jangan Ragu Untuk Memenangkan Ganjar - Mahfud PRESIDEN 2024 🇮🇩🇮🇩 https://t.co/yxBnaKJx98,positive,positive
Mas Anies di kuliti dari yg muda sampai lansia https://t.co/84hKAJdkcX,positive,positive
bener bener anis kalo speaking nya gada lawan siapapun. wani adu jeng ronaldo ge,positive,positive
@KompasTV Gibran ini kalau debat sama Aldi Taher juga kayaknya kalah telak.,negative,negative
Masak sih kelakuan tidak beretika dan kampungan kayak Gibran dibanggain sebagai sikap natural dan alami anak muda.. Lama-lama ntar tawuran di acara debat kalian bilang natural dan alami lagi.. Memang Gibrannya yang tidak beretika dan belum matang kok.. https://t.co/NNGBvlYMAr,positive,positive
Misal nanti aku akhirnya berani mutusin buat nikah semoga aku dapat pasangan seperti pak anies. Orang yang bisa jadi teman parenting yang baik. Biar anak2 aku kelak bisa punya bapak yg care dan ga pernah sedikitpun ngerasa fatherless ,positive,positive
Lautan massa hadiri kampanye akbar Prabowo-Gibran di GBK. Salah satunya Julianti yang mengaku datang atas insiatif sendiri karena pendukung Prabowo https://t.co/gZ2PF7ZfR4,positive,positive
GEROMBOLAN TAMAK!!! Perubahan kedua UU Desa sarat tukar kepentingan. Ada permintaan memenangkan Prabowo-Gibran dan Ganjar-Mahfud. Politik Dagang Sapi di Balik Revisi https://t.co/TyFbrE7Rc2,positive,positive
Saya hanya akan percaya permintaan maaf Pak Prabowo jika: - Mundur dari Menteri dan Walikota solo - Minta Pak Jokowi hentikan politisasi bansos Jika masih memanfaatkan keuntungan2 yg menyalahgunakan kewenangan maka permintaan maaf itu hanya omong kosong,positive,positive
Posko Tim Kampanye Daerah (TKD) Prabowo-Gibran Provinsi Sumatera Barat dipadati lebih dari 500 orang dari berbagai kelompok masyarakat yang datang secara bergantian menyampaikan dukungan untuk kemenangan Prabowo-Gibran. Dengan ini kami 17 orang (di atas panggung) ini sebagai https://t.co/qe16xcSTca,positive,positive
Dosa Besar Anis Baswedan Yang gak bisa dimaafkan menurut Jurnalis Senior @aniesbaswedan https://t.co/hhnY7WLSfk,negative,negative
Lagu Sedang NgeHit Di Solo. Solo Bukan Gibran @kurawa @adearmando61 @kaesangp @gibran_tweet https://t.co/HMbgn5SWu4,positive,positive
Gen 12 Yg jikonya pingpangpong tu siapa semalem ya? Banyak fans yg dah apal terus dia kaya agak berkaca2 gitu anaknya huhu,positive,positive
@KompasTV Usai debat Prabowo nolak pertanyaan wartawan dan nolak foto bersama anggap aja misal wartawan itu RAKYAT nya dan Prabowo presiden nya RAKYAT yg kritis tdk d anggap sm dia tdk humanis sm wartawan cenderung angkuh.,positive,positive
@narkosun Kata si A Kata Si Anu Kata Si B Kata si C Lagi menghibur diri yah Bong Kasihannnnnn ,negative,negative
KPU tegur gibran yg provokasi penonton debat Ini cawapres atau pemandu sorak? https://t.co/fqgdXsVmy2,negative,negative
Ogah Pilih Prabowo Subianto di Pilpres 2024 Fedi Nuril: Gue Nggak Mau Penculikan Aktivis 98 Jadi Presiden https://t.co/P7I5McGXE3,positive,positive
KESIMPULAN DEBAT PERTAMA . . 01 : Full of rhetoric 02 : @prabowo bicara tentang persatuan kesatuan visi misi fokus utk rakyat 03 : Sinisme malah backfire ke cawapresnya . Kalian bebas mau beropini spt apa semua pendukung pasti jagoin kandidatnya jd woles aja. . ️ https://t.co/LrLF2haRsX,positive,positive
Pak Anies jika kelak jadi Presiden tolong diperhatikan juga pak pelayanan untuk penyandang disabilitas mental semoga terbaca oleh Pak Anies komentar saya ini.,positive,positive
cape bngt sama imin,negative,negative
Pak @prabowo menghampiri Masa projo di depan gedung Jcc #Projo #Jokowi #Gibran #Prabowo #PrabowoGibran https://t.co/eeek9PedUj,neutral,neutral
Emang pak Ganjar Pranowo paling the best dalam hal apapun itu guyss. LanjutGansemuakerja GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,positive,positive
Kata-kata Anis bagaikan angin sepoi tanpa kehadiran yang benar-benar dirasakan. #KingOfRetorika PemantikKonflik Demokrasi https://t.co/Pfim93MIp1,neutral,neutral
Pemimpin yang tidak dapat dipercaya seperti Anis hanya menciptakan ketidakharmonisan. #KingOfRetorika PemantikKonflik Demokrasi https://t.co/KxLtpqwf8J,positive,positive
Mari kita sambut Anis dan cak imin PilihPKS CoblosAMIN #AMINAjaDulu,positive,positive
Duet Anies &amp; Ganjar di Debat Capres Bak Syair Lagu Rhoma Irama Ini https://t.co/cWGJOW6qyS,positive,positive
ada bocoran panitia yg bagian nanya gk? mau nyiapin jawabannya sp tau hasil akirnya bukan Anis,neutral,neutral
Bismillah Paslon 2 Prabowo Gibran MENANG sekali putaran #prabowogibran https://t.co/5HOMnAs4bK,positive,positive
Hasil analisis DroneEmprit ini menunjukkan bergabungnya influencer ke kubu 01 dan himbauan pak Anies untuk main di tiktok cukup signifikan. #coblosPKSaniespresiden https://t.co/NxwQxgNGgR,positive,positive
Melihat banyaknya twit macam ini dari pendukung Prabowo itu membuktikan kalau Prabowo KO dlm debat semalam. Kekalahan Prabowo dlm debat diakui sendiri oleh para pendukungnya walau dgn bahasa samar.,neutral,neutral
Kata KPU terjadi pencoblosan ilegal di Kuala Lumpur untuk pasangan Ganjar-Mahfud https://t.co/b34bHfHQRe,positive,positive
Karena performa debat @prabowo buruk timnya terpaksa memanipulasi persepsi masyarakat dengan mengerahkan banyak pengamat abal-abal untuk mengatakan sebaliknya: memuji-muji Prabowo. #DebatCapres #DebatCapres2023 #debatcapres2024 #WakandaNoMore,negative,negative
Orang yang dikader dengan benar hasilnya ya seperti Ganjar Pranowo ini.. Terus menemui rakyat untuk tahu problem real sebenarnya di lapangan.. Kita butuh pemimpin yang bisa melakukan kerja-kerja politik seperti ini bukan cuma ngebacot dan jualan nama orang lain.. https://t.co/M8dIyGsNbx,positive,positive
@kikysaputrii @prabowo @gibran_tweet Komenannya bikin heran deh. Kenapasih kita harus dipaksa memberi alasan memilih sebuah paslon? Kenapa sih harus maksa orang harus sesuai dengan maunya kalian? Ya terserah kita lah mau pilih siapa. Toh kita masing2 punya hak suara. Pemilu ini malesin bgt parah. Pen cpt2 kelar,positive,positive
@zoelnasution1 Pak Anies tdk hutang apa2 sm yg onoh bang ️,negative,negative
https://t.co/jmItoLY4K6 Tlg jgn lupa nanti elaborasi terkait strategi maritim dan negara kepulauan. Tidak muncul dlm topik2 debat capres/cawapres. @KPU_ID @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd,positive,positive
ini scam kah? Kok gapernah ngumumim winner deh aku scroll kebawah cuma post GA tanpa ngumumim https://t.co/kSYLtOY4Wq,negative,negative
Yang waras dan sadar pilih Anies https://t.co/BvmTzg20ev,positive,positive
 Jika anak muda (Indonesia) seperti di desak anies malam ini rasanya Indonesia akan menyala terang di masa depan. -ABW Gila ini orang 1 kalimatnya aja bisa bikin getar hati. Dia cuma mau memberikan contoh demokrasi yang benar beliau menang itu bonus.,positive,positive
prabowo ketika debat bertema ham pendukungnya : https://t.co/xWtzFaZE9x,positive,positive
Anies - Cak Imin janji perubahan tapi menteri-menterinya malah janji setia di kabinet Jokowi Lebih mantap mana? @AgusSap__ https://t.co/jn0j6EeS53,neutral,neutral
Orang ini kasar dan menuduh pendukung anies yang kasar bahaya orang ini,negative,negative
Tim Prabowo gibran sombong https://t.co/eLinECrwCs,negative,negative
Mahfud MD mengajak masyarakat menjaga Negara Kesatuan Republik Indonesia https://t.co/11ZV2tMk1F,positive,positive
Ini yg bener .. hey @prabowo @Dahnilanzar siapapun calon Gerindra yg maju ga bakalan Menang saat itu dan Allah menunjukan @aniesbaswedan sehingga bisa menjadi Gub DKI .. kalian terlalu Jumawa,positive,positive
Saya itu dari dulu tidak pernah respect jika Jokowi berpidato jika Jokowi Talk Show apalagi jika berbicara didepan Wartawan demikian pula ketika Prabowo berbicara dan sekarang ditambah lagi dengan perilaku Gibran ~ Wis Nggak Respek blas #hening,positive,positive
anis dah pernah jawab kenapa dia memutuskan buat cari dukungam sm fpi waktu pilkada dulu and tbh he was fair abt it,positive,positive
Anies itu politisi gitu cara bacanya. Kalau di sistem politik Indonesia sgt susah utk tdk akomodatif. Dlm sistem super liberal jgn mematok target terlalu tinggi pada Anies. Lebih tinggi 2 strip dibanding paslon lain itu sudah bagus. Kecuali anda tolak sistemnya.,negative,negative
@drReUtari08 @prabowo Kak Riiiiiiiii.. Vid-nya kerenn ihh.. ,negative,negative
Dirgahayu Gerindra ke 16. #DwiwinduPartaiGerindra https://t.co/JfPmme2843,neutral,neutral
Ganjar Tanggapi Celetukan 'Ndasmu Etik' Prabowo: Masyarakat Bisa Menilai #newsupdate #update #news #text https://t.co/W5diJr4BK6,positive,positive
@realfedinuril Gak cuma 98 lho.. Beberapa bulan belakangan ini keliatan Prabowo masih ga bisa kontrol emosi dan masih ancem awak media.,negative,negative
Saya lebih percaya kalau jendral2 itu BUKAN mendukung Prabowo. Tapi mereka adalah loyalis sejati Jokowi. Jika bukan Gibran yg dijadikan cawapresnya apakah para jendral itu akan jilatri ? Prabowo juga tahu itu dia mau pilih Gibran yakin pasti bapak akan all out dukung anaknya,positive,positive
tanya saudara dikampung: kena intimidasi ya? jawab: sdh merasakan kerja nyata Ganjar mantap ga mempan intimidasi Anjlok di Survei Litbang Kompas TPD @ganjarpranowo - @mohmahfudmd Jateng: Ini Kandang Banteng Kita Akan Menang Tebal Klik untuk baca: https://t.co/6LBHZExvnE,positive,positive
 Pihak yang bagi bagi uang dan bagi bagi sembako itu darimana uangnya? Tidak mungkin uang itu uang halal Tidak mungkin..Mustahil... kata Pak @prabowo https://t.co/je01MVNkZp,negative,negative
Prabowo Subianto Sudah Merencanakan nya #PrabowoSubianto #Anies https://t.co/j9Oozm1YzG,positive,positive
Jika terpojok orang akan kelihatan aslinya. Debat Capres kemarin kt jd tahu Prabowo orangnya emosional: mudah marah &amp; tunjukkan air muka mengejek ketika ditanya soal2 sensitif oleh Anies &amp; Ganjar. Wah gimana nih kalau presiden punya sikap emosional ya guys. Takut nggak? https://t.co/aCXjOeh4C3,positive,positive
https://t.co/TCK3iNCJK7 Muncul kagetan,positive,positive
Oknum buronan penipuan mengatas namakan relawan Anis dr GARNIES yg menawarkan pemesanan cetak kalender Benner kaos gantungan kunci udah byk korban di tipu dgn nama KTP yg di atas tersebut kalo ketemu tangkap bawa ke GARNIES pusat dia PNY KTP ganda satu LG KTP Depok 082246223018 https://t.co/DZbst5ug2y,negative,negative
Survei Indikator: Prabowo-Gibran Kalahkan Ganjar-Mahfud di Kandang Banteng Jateng https://t.co/YJTGOxVRt9 #Pemilu,negative,negative
@sosmedkeras Kurang seru ah dibanding di Indonesia menurut saya. knpa? 1. Tidak ada yg menjual pinggir jalan 2. Tidak macet 3. Tidak banyak rambu lalu lintas 4. Tidak ada yg parkir sembarangan 5. Tidak ada yg memakai payung saat jalan 6. Tidak ada orang kepo 7. Banyak trotoar,positive,positive
Horee... Ganjar M3NANG Keseruan warga Kulonprogo ketika nobar debat Ganjar Pranowo &amp; 2 Capres lainnya Selasa (12/12/2024) mereka mendengar kan visi misi &amp; argumentasi epic dr Capres jagoan nya saat jawab berbagai pertanyaan dari Capres lain Ganjar Paling Tegas https://t.co/JAUmubY5V3,positive,positive
Solo bukan Gibran. Solo untuk Ganjar. Menyalaaaa #GanjarMahfud2024 https://t.co/hJ5Vslo7LL,positive,positive
Prabowo Samakan Gibran Dengan Jenderal Soedirman: Jadi Pemimpin di Usia Muda. Wahai para kubu no urut 2 coba klen tanyakan hati nurani klen apkah Gibran layak disamakan dgn Jenderal Soedirman? Astaghfirullohalajim ngedabrus jgn terlalulah! ,positive,positive
Bodohnya kalau demokrasi itu diukur utk kepentingan perorangan dan menabrak kepentingan rakyat banyak. Rupanya memang skrg ini RW di kelurahan Konoha sdh hilang nalarnya !!,positive,positive
gubernur DKI Jakarta Anies Baswedan. Mereka dipanggil untuk dimintai keterangan terkait dugaan pelanggaran kampanye di media sosial. Wah seru nih! Semoga prosesnya berjalan dengan adil dan transparan ya.,positive,positive
Ibarat pertarung sudah tidak sanggup lagi tapi dipaksakan terus fight.. Ekspresi Pak Prabowo yg begitu ditambah ekspresi tegang sekeliling nya menyiratkan itu semua..kgak perlu ahli mikro ekspresyen ntuk ngebacanya https://t.co/SrWfbFM7ok,negative,negative
@barubikinlol Wkwkwkwkwk kelihatan bgt Ganjar jaga2 mulut waktu nanya Anis,positive,positive
@Hasbil_Lbs Prabowo pernah berada diwaktu tempat yg salah apa prabowo saat ini sdh mengambil keputusan yg tepat sepanjang sejarah akan mencatat gibran bisa cawapres krn KEPMK yg cacat hukum Pilihannya Prabowo menang tercela bersama gibran Prabowo kalah atau menang terhormat dgn pasangan lain,negative,negative
Momen Alam Ganjar Bareng Cucu Sultan HB X Berwisata Keliling Keraton Yogyakarta https://t.co/6Ihe8pnJjp #TempoSeleb,positive,positive
Pukul 17.00 persiapan Pesta Rakyat di GBK untuk kemenangan Prabowo Gibran satu putaran. Ok gas ok gas https://t.co/nSWInxNwpH,positive,positive
Oh ini pengakuan prabowo yg itu klu dia benar2 butuh kekuasaan buat cari duit,positive,positive
 Angkatan muda yang begitu banyak berkorban dari reformasi sampai menggulingkan Soeharto kok nggak melahirkan pemimpin? Aneh sekali. Begitu banyak korbannya. Pemimpin bukan pembesar. ~Pramoedya Ananta Toer~ Selamat hari lahir Pram. 6 Feb 1925. #BacaBukuSejarahBareng https://t.co/BlsAKoQemE,positive,positive
 bukan p0litik Tadi sempet ada yang bilang kalo Cak Imin jaman muda mirip sama Niall Horan. AND I CAN'T UNSEE THEM LIKE BEFORE https://t.co/UhUzPxajA2,neutral,negative
Ganjar Paling Tegas Ganjar Mahfud pilihan tepat Orang cerdas pilih Ganjar Mahfud https://t.co/xx7hGeC8lx,positive,positive
Apa kabar Etika Politik ?? Pelanggaran Etik Bukan Kaleng2 'Pelanggaran Etik Ketua KPU dan Peluang Mendiskualifikasi Gibran' https://t.co/fUDISsIMCT https://t.co/8784SMcdjh,negative,negative
Deklarasi Dukungan Purnawirawan Perwira Tinggi TNI-AU Elang Indonesia Maju untuk Ganjar-Mahfud https://t.co/5x9Y7kUPqf,positive,positive
Kondisi Suasana subuh dan pagi ini luar dan dalam JIS Masyarakat pejuang berani perubahan terus bergerak berdatangan AMIN @aniesbaswedan @cakimiNOW MERDEKA https://t.co/kuJ8PGUh73,positive,positive
NDAS MU ETIK ! Ini yg kalian sanjung elu-elu kan dan harapkan utk memimpin NKRI ? Dari cara bicaranya saja tidak berubah sedikitpun sejak dulu geli liat pendukung2 baru nya yg tiba2 liat PS spt dewa Prabowo bukan Jokowi https://t.co/HXJfPmKei1,positive,positive
Ijasah Anies Prabowo Ganjar Miftah Bawaslu capres amin https://t.co/4KbSPWbOc5,positive,positive
Rhoma Irama dan Soneta Grup Kawal Anies-Muhaimin di Jatim https://t.co/dHzv5kQD2F,positive,positive
Justru sebalikx Klo Ganjar menang potensi Nasdem dan PKB ke 02 malah sangat besar krn SP tdk cocok dg Mega smtr Cak Imin kembali ke 02 hny smcm reuni tp potensi Anies sgt ditakutkan krn klo ada 2 putaran bisa2 genk 02 pun akan mulai goyah dan geser k Anies stdknya grass root mrk,positive,positive
Detik-Detik pak Anies di sambut meriah oleh masyarakat Pekan Baru Riau dan di kawal ketat oleh Pemuda Pancasila hari ini Rabu 13 Desember 2023...bangga saya Pak Anies ada di Tempat tinggal saya Pekan Baru Riau https://t.co/T9TcNZb1sZ,positive,positive
Tanpa Pak Bas...? #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/89TTBvzFVM,neutral,neutral
Karena kurangnya alutsista di dalam negeri sendiri TPN @ganjarpranowo&amp; @mohmahfudmd Jend (Purn) Andika Perkasa menggandeng beberapa negara untuk melakukan pembaharuan Garuda shield M3nangkan Ganjar #YakinPilihGanjar #GanjarPranowo #GanjarMahfud2024 @AyamSegar3 @GustiMberkahi https://t.co/TW1VfuVip6,positive,positive
