full_text, Ai_senti
dukung calon presiden capres 2024 nomor urut 3 ganjar pranowo alir dukung semangat sadar gotong royong masyarakat usung gera kaos rakyat gera kaos rakyat lahir yogyakarta inisiasi alumni, positif
29 gmbr anis harini, netral
oknum buron tipu atas nama rawan anis garnies tawar mesan cetak kalender benner kaos gantung kunci korban tipu nama ktp ketemu tangkap bawa garnies pusat ktp ganda ktp depok 082246223018, negatif
wow yakin, positif
otw dpet leot kasih kak anis terimakasih deh gedor kak, laen
calon presiden nomor urut 3 ganjar pranowo nilai rancang undangundang ruu ampas aset sah ganjar ruu ampas aset tuntut masyarakat ganjar hadir dies natalis, netral
scam kashmir, laen
anis presiden ri 2024 rakyat indonesia adil makmur aman sentosa, laen
gaya elit ekonomi sulit gaya elit ditangih hutang sulit haha adit, laen
benda malas hujung update file stockaset, laen
scam kah enggak pernah ngumumim winner deh gulir bawah post ngumumim, laen
tipu prtumbuhan ekonomi solo hasil kerja perintah pusat hasil kerja anak lihat kerja bapak dki prtumbuhan turun 5an lihat 2017 strusnya anis kuasa prtumbuhan mlompat atas 6an anis brkualitas, positif
apindo kelas manufagtur export medco anis, laen
habis pikir orang nan kata manis nya anis wkwk nan haluan amin aduh capedeh, negatif
apk vote bday 3 4 mubeat bentar buka unduh deh penuh simpan, laen
top pakbowogibran lanjutkanjkw penuh penting kita2 makan pakai papan solusiprogiekonomi skaliputaran masbowogibran, positif
tetiba ingin cendol, netral
orang cerdas pilih anis orang cerdas pilih prabowo orang cerdas pilih ganjar basiii tau, positif
visi top pakbowogibran lanjutkanjkw sokong partisipasi rakyat laksana kembang makmur masyarakat solusiprogiekonomi masbowogibran emangasik, positif
211223sore chekicha manda malam berangkat kuala lumpur 221223malem videocall manda pagi terbang indonesia 231223malem sts manda verif verif wajib theater sih soon indonesia sih punya lovee doain verif theater ya, laen
umm sih, netral
jealous psstt huhu, negatif
alhamdulllah ludu star, netral
good pagi mari awal pagi ngopi libur kerja ugalugalan ya tuhan, positif
pakai peci hitam mantan gubernur wakanda lihai produksi katakata mudah lupa ya sih, negatif
pelosok nusantara sabang merauke gema desak anis baswedan presiden ri no 1, positif
anis jua siut, netral
demokrat sikap balas anis nyata ndasmu etik jelas betapa besar hati harap trllu ahy jadi cawapres pantas layak amp layak, negatif
jajan vial perfume mykonos dark secret satin blanc sparkling rose suka sparkling rose satin blanc dark secret enak doang sparkling rose asa minum rose champagne dingin 9 soda2nya satin blanc habis mandi sabun wangi apel, laen
kepala botak laki bayar haha engko kerja, laen
hahah mimpi poh funny, laen
good pagi korang deh stres nih anis deh, negatif
capres 2024 i think if theyre cerita of kunning palace prabowogibran yan lin bapak bayang anisamin ganjarmahfud sebutin kayak picu debat deh wkwk, negatif
cek koper polo fiber 24 inch 010 polo vienna anti pecah bayar tempat kirim gojek grab harga rp182900 dapat shopee, netral
anis matta bongkar fakta detikdetik putus damping prabowo gibran muncul menit, negatif
reminds of punya roommate semester 1 dah katil tepi pintu masuk kepam sanggup tido bilik anis, laen
sia bilang kakak, negatif
2024tenggelamkampdip selamatnyungseppdip nyaleg anak mantan wabup banteng, negatif
mengungkit2 jasa acara debat presiden sungguh adab n etik anis 100 murni pilih rakyat warga dkiwlaupun usung partai rakyat pilih gubernur dki, positif
juta hadir sambut siti atikoh mana reog ponorogo madiun jatim dsb rame gama kalah curang amp netral gama menang 1 putar lu indonesia unggul lanjut baik cepat lu rakyat adil makmur rata, negatif
sengkek now takde anak sedekah akaun, laen
maleh layan, negatif
bismillah negara indonesia sejahtera anis aminajadulu aminpalingsiapuntukindonesia, positif
bapil sakit ringan repot, negatif
pengin joging spatu gue hilang jancuk pakai sendal jepit, laen
anis musuh tegak adil unytuk senmua tpsyoutubevwelfoe8cjusiqwjmu faylncogpy, negatif
iya surya palohamin rais anis, laen
taehyun ya tumben muncul wv, laen
ptprpdprrr vasy wesh ai pas amis, laen
jam jam gin tidur pikir huftt, laen
yahfdek ki 9ritha elajalk hdi tesnim, laen
bri hamba semangat sbk ya allah, positif
anis post gambar lelaki mesti curious nih bitchless, negatif
allah anis baswedan kesal sih, negatif
pergi korea anis deen yeen , laen
alhumdolillaaah, netral
ngejar batas waktu anak anis hukum ui, negatif
haru pesan singkat habibie rakyat juang anis perubahanaamiinamin, positif
orang bikin mleyot taehyun, laen
kangen grup bubur, netral
baksobaksogratis gratis bakso makan amplopbagi susubagi beras makan gratisdi terima nama promo ala capresnyoblos bebas sesuai pilih hati nurani yakin amin anisimin khilafah hti gemoy orba bangkit, positif
kalo omong manis doang mah anis, negatif
selamat lombok anis doa baik insyallah pimpin negeri iniami, positif
orang kali kali anis perkara angin kabar adil semai tua, negatif
welding anis penuh senyum ya, positif
hahaha aplog mazaaq karrahe hen wb serious lelia nya sb fan kak nuksaan hojana h, laen
tenggorok atit angetttt, netral
tukaq battery, netral
asyuuuu, netral
wb pahlay kaha tha aisey comments wajah wo sabko chordetay hain cz unkay leye subkoo harap ya response possible nhee hotaa mind nahi karega aplog apni harap keren but aesi baatein nya keren ples, netral
marah, negatif 
bjir salah fokus isi qrtnya buzzer anis, negatif
pilih, netral
sopan, positif
silaturahmi capres anis baswedan ponpes al aziziyah kapek gunungsari lombok barat selasa 1912 ded beritaelshinta, netral
dosa anis baswedan maaf jurnalis senior, negatif
garagara update genshin kuota anis, laen
ah jelek, negatif
tau ngide ajak, negatif
proses anies gubernur jakarta prabowo bohong anies rumah prabowo gubernur bahan nilai prabowo debat capres anis baswedan pilih gubernur, netral
kangen, positif
zombienya kayak teriak teriak ah biar kejar, laen
percaya warna partai umbar2 calon ayamx nomer 1 anis cak imin oren ijo prabowo gibran putih kuning ganjar mahpud kuning hitem warna parpol warna perut wajar nilai 0 tong kosong nyaring bunyix, negatif
anies kayak kalah gayakin milu jujur suara atur nis patok suara 17 kali ya, negatif
bghit gha marcelo ydi had coupe du monde gue y3tazel baaaaraaaakaa, laen
marah marah guna, negatif
salam ubah amin aminkanindonesia pkb anis muhaimin cakrochim gardawira cakrochimae surabaya sidoarjo akunuakupkb santri, netral
ya iya sih salah, negatif
tak nih, netral
kuliah anis otaku langsung tular cerdas, positif
setif, netral
baik, positif
gue curiga, negatif
tampak batch kali nih minat tamat deh depabuat demo semangat memasing, negatif
kakak anismas anisssskita negara demokratis video ndasmu etik cari video intangkap ndasmu demokratis ndasmu gemoy, negatif
bilang seksoy, laen
senyum dia pada kakak anis kakak anis kakak anis, positif
anis, netral
interview good reason hire anak salah hire haha risau nih 5 contoh buatt pesona, negatif
yakwoh ajak kahwin nih shakod anis langkah mayat, netral
buka twitter foto langsung tawa zoom zoom omygod taehyun ampamp save, positif
ridwan kamil 60 persen suara jabar prabowogibran menang 1 putar, positif
gerindra kalo nyalonin anis suram kadaernya keder deh janji wakil gubernur pks eh embat gerindra rakus cocok kuasa 01 menang 1 putar, negatif
kelon bojo loro tonton projen, laen
nih anis enggak mau salah anjing, negatif
malas lihat celana pendek, negatif
teman buzzer anis sih, negatif
contoh 5 baik korang anak cari kerja kosong cari telegram nih iklan kerja kosong tau, negatif
aceh 100 anis menag, positif
sadar gan an wo game bang windah ganjar anis prabowo, negatif
capres rakyat nyaman capresnya dialog santai bareng warga bojasari wonosobo cicip nasi jagung leye senin 1812 ganjar mahfud m3nang prabowogibran polri pram scoopy 1 onana ijazah strikeforgaza anis baswedan reset siang bal, positif
gen 12 jikonya pingpangpong semalem ya fan deh hapal kayak berkaca2 anak huhu
anis bisa posting anime beliau tau kader muda pks wibuu, negatif
anis menang wkwkwkwk anggar bagi susu sembako alat negara menang modal jujur mah mimpi lihat pas kampanye gratis pakai uang negara, negatif
ih kangen anis habis ngelike sw ku, positif
member enggak ada buluk ya awkak, laen
ya allah keroyok gue shipper borusara deh komen kayak, laen
bismillah ajasekalipun beda partai pilih persidenya aminanis muhajman, positif
kakak pangku kakak, laen
dyor flmghrib madaroch lhad lberd wlah, laen
apa kakak anis kecuali lahan sluas 320000ha puluh pabrik tambang emas amp kebun, negatif
gula semut anis baswedan pikir beda, negatif
prabowo ganjar anis baswedan uwak uwak tonton tawur 2024 aniscakimin presiden, negatif
pagi pagi deh halu, negatif
camat tambora camat dki jakarta 11 lurah 201000 dpd teman anis jakarta barat gerak lurah jembatan besi 60 amin spanduk amin pasang lurah kali anyar camat tambora jakarta barat sobatanies, negatif
anak kakak anis umat ndasmu, negatif
anis sok asyik banget, negatif
wakanda no more indonesia forever cerita kakak tia, laen
mhpass zone 1 manila, laen
alhamdulilah uas resmi dukung amin anis muhaimin pilpres 2024 golput hak pilih dukung orang 2, positif
dukung acara anis hormat cerdas dasar anis cerdas, positif
benar anak kelas 1 kuku beeet kaya tantetante hobi manicure, negatif
azzuhrirahmah salut ikhlas capres nomor 2 anis salut cerdas ganjar bingung disalutin ganjarbersih kuatkankpk hebat, positif
deh repot harga, negatif
dukung wowo jalur jokowi bingung bela ndasmu etik ngebalikin anis etik aku sih gemoy etika rela jilat ludah pandir, negatif
anak kerja anak kerja kena kerja anak fangirling anak kerja kena kerja anak terus hidup, negatif
deh dok pikir nih, negatif
omong sesuai kayak anis, negatif
hdeww, netral
nih ide belio, netral
bjir cakep kemarin sih hasil lupa bentar cari, negatif
nomor urut 3 ganjar pranowo takut kuasa kubu no urut 2 prabowo jegal lolos mau hadap kubu 01 anis coba simak ucap anak bawang kaesang rapat baris 03, negatif
scrolls tiktok ketemu wkkwkwk kangen ngegambar anak sorumm, laen
pengin ndusel ketek taehyun, laen
settle nametag carat nametag pin grup svt pon siap2 freebies cse hahahaha, laen
wakil prabowo kakak fahri anis mata dukung cari dukung titik darah habis, positif
tinnitus dancebreaknya taehyun, laen
1prabowo gedheg anis etik anis gubernur berkat uang prabowo lancar politik identitas langgar etik 2dia ludah etik sejati ludah mertabat bangsa 3tkn prabowo panik kompas gue karungin, negatif
goblok diitung hitung, negatif
kemarin habis ngejoke dingin puncak gunung tbtb kalah sombong karma instan ya wkwkw, negatif
2019 prabowo anggap titik harap hal anis ayo bukti anis sesuai harap p prabowo harap mau timbul, negatif
broken rumah bapak ganjar ibu anis prabowo, positif
capres cawapres pilih 2024 1 amin anismuhaimin 2 pagi prabowogibran 3 gama ganjarmahfud golput indonesia gantung pilih 5 depan, negatif
fyp tt isine anis hesshh kakean omong tok, negatif
sedap oo cokelet anis terimakasih nis moga murah rezeki, laen
ah besok enggak mau buka twitter bangun tidur lihat livescore trnyt jeleee pembullyan mana wkwkw menang ngebully masuk akun deact kemarin wkwkw, laen
lihat surya paloh kampanye sih anis kesempataniya sih, positif
moga nafas kalem, laen
tengil banget ajar, laen
woy lihat, laen
akkk lucu banget yeonjun lihat pengin tt, laen
wkwkwkkwkw ganti ava tiktok setahunnnn faithfulinsilence, laen
surup kah, laen
harini lambat tgkp gmbr panggung, laen
sekian purnama trol sistem main solo sabar, laen
ro ya nun dal wau, laen
tawa, netral
sabar jelah, laen
murayama todoroki, laen
deh anak sisi, laen
besok ela mil teman anak umi, laen
doa mekah pilkada dki 2017 menang anis raih doa pilpres anis menang insya allah anis presiden am1n hakul, positif
ente main tulis lup celuptapi paasti ente jin benci anis, negatif
pekan jelang tanggal 14 februari 2024 komitmen gerak menang gus muhaimin anis baswedan pasang presiden wakil presiden amin anismuhaimin salamperubahan muhaininiskandar, positif
lucu tiga kalo bareng uozumi adeknya yui kadang2 anak dua, laen
hi maaf ya sok habis concert cse shua richiamo freebies nih freebies jumpa ya, laen
teman ada taukenalannya obat dokter bedah onkologi jogja kirakira dokter ok rs rencana onkologi operasi terima kasih, negatif
pusing tunggu berita, negatif
karakter rubah kecuali dekat milu ya setel pabrik tuju emosional temperamental pikir bisnis pribadi kabar yusril zulkifli anis mata dsb, negatif
ya sih yun minimal 3jam, positif
cinta negeri bilang negara republik indonesia kagak kakak anis kakak anis, positif
pantat laki hidup pinjam uang perempuan mahu sibuk sembang value kanina, negatif
taehyun mandiri ya ngide bikin konten bust, laen
update beol, laen
pilpres sederhana suka kerja jokowi pilih gibrannya suka kerja jokowi benci keljokowi sila pilih anis orang ganjarg pikir berat entar pusing, negatif
kucing kucingta, laen
hobi, netral
mimpi tokyo japan, laen
taehyun mandiri wkwkw, plaenositif
sehat sehat, positif
wkwkw meng ambek, laen
potong rambut, laen
penghianat bohong juluk munafik tancap jejak digital anis simulut manis etika ndasmu, negatif
bak uang babi resign, negatif
anis gubernur dki hujat bullytapi kagak balas curhat dukung suruh prabowo ajar sabar anis, negatif
manfaatin gym hybe xixi, laen
kabarin biar tinggal, laen
sukanyaaaa orang sentiasa supportive nih l, laen
aaakkkk tolong madam bakar tolong, negatif
ganjar bantu jokowi 3 kali jokowi maju gubernur dki jokowi maju nyapres 2x jokowi bilang ganjar lanjut bangun jokowi bilang lu pimpin negara rakyat 270 juta jiwa pimpin alam jokowi bilang anak 2 walikota, negatif
anis tau prabowo anggara 80 t jabar polusi n angin paham gakmikiiiirbodoh, negatif
ngiler enggak sih pindah restonya, laen
comfort movie rewatch enggak tau kali, laen
gorenggoreng doang suruh bikin cake cookies tumbas nek kui, negatif
moga pks menang anis presiden jakarta indonesia, positif
benar bingung pilpres kali golput deh 1 anis pintar banget rangkai realisasi nol wakil nya skip 2 pro gemoy wakil nya enggak tau diam nya banget ekspresif langsung tantrum pas debat kemarin 3 md skip banteng, negatif
mata panda asyik tidur lambat, negatif
seru tonton sasa kakyog debat kusir permasalahin anis vs prabowo, negatif
wow nilai dah, positif
asli dukung anis congor kumuh wkwkw, positif
nurse ajar diploma otw degree masak pandai kereta drive hantar kumpul kali deh partner logik, negatif
suruh sih anis malu omong hoax debat, negatif
iya ng khianat rakyat baris oposisi harap jabat, negatif
design maaf this gaptek, negatif
bingung owo anis ganjar, negatif
sok bicara oposisi hadap anis beliau kenyang aktif cari kurang melulu lihat abrek sepak terjang mahasiswa gubernur masak etik enggak jelas langgar etik berat ordal, negatif
mati ya period cramp nih, negatif
ordal anis erti teknis usaha pimpin komisaris usaha ybs ordal anis, negatif
hyuka dewasa ya cakep nabil, positif
admin tolong pakai artis kpop milu ya bahas anis bagus loh warna bawa nama nct andil milu, positif
tap, netral
youre lost translation anies ajar etika langgar kode etik lolos salah cawapres anis bilang perintah oposisi posisi hormat anis omong etika oposisi, negatif
diare kakak, negatif
milu dukung pasang anis baswedan muhaimin iskandar, positif
1 putar amin langsg kepuncakyg hati yasportifitas etika, positif
jummah mubarak, netral
mimpi kali yesemoga sehat sehat, positif
cari tahta lu harta, negatif
capres cawapres jaga jarak uas endingnya simpul politik identitas anis, negatif
biasa tempat, negatif
nih spanjang jalan nemu baliho anis ya, positif
otw medan loket abang2 kampanye tau ya timses ngomong2 anis tipu ganjar munafik pilih prabowo duh kakak lucu teriak2 presiden mu prororo, negatif
gue pilih anis konflik papua gampang anis kemarin, negatif
tua kayak anak joged marah tempat pres, negatif
belimbing karbitan muda 2 walikota presiden larang pilih anak, negatif
anis presiden entar lamar awokwokwok, netral
iya hasyim ngemplang korup blbi uang dibalikin negara lu investasi pabrik janji gratis 400 t tahun lu bancak korup makan kotor entas kemsikinan bowo presiden 2030 indonesia bubar, negatif
main main, negatif
rumah sakit jiwa isi solomon, laen
wkwkw, netral
takut, negatif
prabowo pas anis omong, negatif
kamera anjing, negatif
kecewa banget highnote ctf taehyun kamera zoom, laen
anjing benar tinnitus tv national, laen
mual ggr tahan teriak, laen
aduh mules bentar tieksti, laen
lucu, positif
anjerr tinnitus, laen
"", laen
gila stres sek nafas kang taehyun tanggung, laen
sopan luhk buka jaket nyala stage, laen
anis nis oportunis, netral
sumpah enggak mau pencet layar hp pas txt perform garela lambat tbtb macet, laen
cantik, positif
luhk, laen
alo dah habis, laen
benar ganteng, laen
ganteng polllll, laen
sungkem hairdonya, laen
aduh banget, laen
gaduh kucing muka luka curi ikan pecah mangkuk corelle kencing sepah yet i still suka tuhan suka blind but youre fluffy, laen
gue tebak taehyun bikin boba, laen
nih rangorang omong tinnitus dah takut, laen
bang edit ya, laen
menang ya allah, positif
mashaallah, laen
jumu3a mubaraka, laen
"", laen
allah yahrmou, laen
gasabar taehyun ganteng, laen
amerikalahkan amerika teman dekan israel, netral
dar salur hoby kakak serius, negatif
orang capek tunggu jidat, negatif
kemarin kerubut nih curiga, negatif
maksud nya pakai digrebek ya kakak, positif
maksutnya taehyun tinnitus tv national depan artis artis, positif
ganjar saran jkw lu lockdown covid19 lockdown rush ampchaos ganjar dukung jkw 3 kali 1x dukung jkw gubernur dki amp dukung presiden 2x now jkw kianati ganjar mencla mencle jkw dukung ganjar nafsu dinasty anak mantu ipar jabat indonesia, positif
capres langgar ham gagal menhan curiga monopoli amp korup suka joged emosi anak presiden anak marah dikit ajak perang keras otoriter militer kuasa demokrasi mati kritik dikit panggil polisi awas lenyap petrus, negatif
serentak tuh, positif
aura wajah capres karismatik anis cerah pandang capres aura semblep, positif
tag orang biar adab etika sampai malam undang acara sisi tvone bilang kakak anis adab etika usung nasdem capres rumah pas pamit, positif
yakin yakin hendak allah swtanis gub dki allah antara usung partai anda anis nyalon independence allah lawan nya anis kuasa allah, positif
indonesia untung presiden anis baswedan, positif
lunas kapai diungkit2 kontrak politik 5th selesai emban anis muas, positif
biar kakak lurus, positif
nyiapin overnight oat semalem siang bungkus ambil kayak somay, negatif
serang gundul serang rekam jejak serang pribadi panggil sinis kakak anis kakak anissory yasory ya dls kalo orang jawa dar serang ledek rendah keras non verbal manyun melet dls, negatif
agama ajar curang, negatif
itu janji anis pencapresan 2019 dibawah2 2024 anis tepat 2019 capres aneh audah bro 2019 tepat anis, negatif
episod orang panggil anis hahaha, negatif
geng kilang takde orang anak ajak beli coffee, laen
politik penting gerindra untung menang nya anis selsai situ mesti ungkit, negatif
after long ubat sakit kepala pagi tewas ubat sakit kepala, laen
dizolimi anis, negatif
deh nervous niee amende anis oiii, laen
kot ya suka habis cerita nih cerita deh potong bicara suka deh gantung anak bicara, negatif
katb9a had ahsan ja2iza khdaha messi, laen
bhkt be suka modi ji ise bnayenge, laen
yeh sih tito bajing info a1 anis menang menang tipis prabowo maknya putar 2 prabowo menang telak negeri pilpres atur uang, negatif
wedehhh 10k fanbase gokillcongrats guyss, laen
duduk umah nih lapar manjang, laen
lihat picky eater banget huhu, laen
maaf usus, laen
gila analisis geopolitik anis matta, positif
buzzer anis prabowo lu bjir kesal, negatif
buzzer anis indak tanggap orang ejek angin ktp, negatif
sakit idong, laen
dukung anis kayak gampang makan manis suka teman jakarta become tahi bacause of him prabowo anies, netral
dukung anis kayak zaman jokowi anjing ngeri wkwkwkw, negatif
alhamdulilah lega gembira sangat deh kumpul care discussion malam nih siap pagi besok kemas dapur anis malam lepak empat anis deen yeen woohoo, laen
followers deh habis pantang, negatif
anis debat ahok sih, positif
okay eun gyeol eun yuk nih tau dorg from 2023 dorg 1995 dorg travel 2023, laen
hamas serah christianskristen jewsyahudi muslimsislam infonesia indonesia merah putih aceh batak padang manado ambon lampung jakarta surabaya medan jawa kalimantan madura ntb gereja masjid terorist merdeka pahlawan lansia anis prabowo ganjar jokowi gibran pdip, negatif
anis tahi ngundang rijik bangsat tololl, negatif
sibuk part orang hang part hang sendiri hang srs suka panas hati hang no wonder orang 1 gp hang sil, laen
rindu, positif
kolam butek semangat renang, laen
balas serang anis debat capres bahan debat beliau serang, negatif
anis ucap salam bagus pakai salam gadogado agama, negatif
maklum baliq, negatif
tukang lap anis lupa jasa pbwo nyagub anis kalah pbwo lolos istana bentuk balas budi kompetisi dan ojo diundat undat kuwi, negatif
anis ikntop markatop, netral
pintar nolak bayang kalah habis sih alam nya melulu, negatif
bismillah usung tema ubah ajak keluarga pilih anis no urut 1 anisforpresident, positif
malu nenk tulis lho kadar pikir maaf ya dar saran, negatif
depan nama nya hot line paris kakak, negatif
kpu meja podium capres kuat diri minum, negatif
larang bawa bocil kampanye acara politikkarna bocil umur erti bilang paham, negatif
anak beli axia 2023 roger fast stock perodua axia2023, netral
partai biaya negara cipta proses politik ukur orang malu calon ukur tanggung negara, negatif
jujur fakta sikap teladan tetangga bela junjung nya rela dusta penting duniawi rusak orang nilai sosoknyamantul lae, laen
bayang anjur minum asam sulfat hamilyg dengar langsung nganguk paten kali saran inidapat simpul mitra bicara nya kayak, laen
ooopantesan main bts boz nya sentuh yahnya saham 1 kenaktercopy, negatif
akurat kah info itumemang sih negara tuju itusolusi negaratetapi adidaya main kakitiga, negatif
ktp sakti ganjar mahfud kartu padu lu indonesia lu buruh tani nelayan umkm milenial genz guru pns pol tni anak sekolah mahasiswa hamil menyusuimenyusui lu sehat sejahtera lu bayar bpjs bansos blt dsb 1 ktp sakti gama ganjar mahfud, negatif
p maksud, negatif
pokok anis baik, positif
kakak saa komputer hobi medarat selamat hobi ganteng banget terima kasih ganya kakak uuuaaa pusing ganteng banget stiker jknya lucu freebies terima kasih kakak, laen
kitonya cepat, laen
kakak anis kakak anis prabowo 10 oposisi tawar surabaya 2009 jokowi 2014 2019 gabung pecah akibat polarisasi dukung 08 jokowi, negatif
anis prabowo ganjar, netral
gue pribadi dukung capres mana gue lihat manuver nya anis woooaaaah jimmy mc gill banget, positif
ngangong banget puskesmas, laen
pikir kakak anis, negatif
dosen kaya nya pro anis deh wkwkwkwk, netral
angin indonesia ktp passport masuk negara orang izin anis kendali angin indonesia, negatif
sedih aduk lajer minggu punya sidang goes sarah bantuin gamker teh anis twitter gue emim teh target pasar diam, negatif
pusing prabowo pukul telak anis dukung cari jatuh anis mata pilih, negatif
omong cina kristen minoritasngomong ayat jual identitas ahog tuduh main identitas tuduh anis, negatif
sih pesan instagram enggak bisa kirim stiker, negatif
kau tau program jalan anis jakarta junjung tiru urus angin logika junjung sila tonton ulang anis biar pinteran dikit lupa ajak prabowo tonton debat kemarin, negatif
takpayah cari idont want lu anymore, laen
hidup perempuan paham laki ning khilma anis perempuan mudah luka tahan duka rela sembilu, laen
bijimane cerita ngarti tolong terjemah gempa amat anis prabowo, negatif
ngitung buruk nya pilih capres hitung ya salah indonesia forever iris bella gempa amat anis prabowo, negatif
vicky rocky gerung paham anis, netral
kayak debat visi misi deh 02 kalo debat 2 joget awas ya colek gempa amat anis prabowo iris bella oposisi, positif
oh mashaallah, netral
mashaallaaah, netral
sepakat, positif
biar juang anis 100 menang prabowo gibran atur sistem aparat polisi no 2 serah lawan masyarakat md benteng jokowi, negatif
ab kia ho skhta h, laen
messi pilih ronaldo pilih gempa amat anis prabowo iris bella oposisi, laen
banggalhini riang gembira norak, laen
biji nya, negatif
ilustrasi gambar orang data serap nalar pikir, negatif
blunder anis dicebokin kayak apa orang paham anis lanjut ikn, negatif
grup syantiq, laen
sekrg trend nya dp rumah 0 kembang pola ituartinya marketing terima masyarakat, positif
kasihan yacara analisa bahasa nyasedih deh, negatif
bangun ngopi mbak, positif 
dar hoby, netral
newprofilepic sohee comel, laen
debat terepic tunggu tunggu asam sulfat vs anak buah bapak asam sulfat gibranrakabuming mahfudmd anis prabowo ganjar ganjarmahfud2024 aminajadulu, negatif
sedih, negatif
gila, negatif
kasihan ya nenk, netral
kayak pilih anis sih, negatif
igtkan lately nih anton main tiktok post gambar nohhh sado main tiktok bergym anton, laen
bilang gaya komunikasi putintpi lihat ya, negatif
lampu rumah mati ganti lampu nya rumah, positif
ide edit fancam anis kpu debat capres stage 121223 iring lagu 212 cipta azelia banks, positif
kakak anis kakak anis anak kakak giant dewasa ya, laen
gen orang maaaf didik nya bawah menangin prabowo fakta lapang nyata nya anis kalang intelektual menang jeblok gen akar rumput daerah baner capres no 3, negatif
terok ubat tinggal officee, laen
tonton debat bcz maren jamal omong anis jago bggt silat lidah, negatif
pimpin katakatanya pegang anis ucap janji lenceng bohong bohong pimpin, negatif
gila suka sih omong anis debat, positif
anis maaf lho nemu vt orang anis seru debat seru jabat, negatif
dipikir2 hidup ran tunggu sinichi mending ran sih ya asli tinggal bareng sinichi kemas sachet wujud conan, laen
lihat anis cocok ustad sih omong nya lancar motivator deh kalo, negatif
jkw takut ganjar, negatif
visi misi gama sat lanjut bangun jokowi baik cepat amp kurang miskin anggur lu rakyat adil makmur rata sus lu milenial genz program sus ekonomi kreatif basis digital amp bantu modal amp ilmu 3 kota ratus sukses bowo, positif
cerdas cari alas 1001 ambil nasi coblos anis, negatif
anies lupa usung prabowo siapa nafsu kuasa anis etika orang jasa besar adalagi malu, negatif
kering air liur deh bicara benda, negatif
gasuka omong doang enggak usah pilih anis gasuka intimidasi enggak usah pilih ganjar gasuka culik enggak usah pilih prabowo gampang ribut2 dosa, negatif
alan tonton debat capres pas tidur lan mimpi anis prabowo ganjar main rumah omong berenti2, negatif
orang tarik milihmenjadi dukung sih anis alas ya, positif
pilih anis anis baswedan kali indonesia edaaannn, negatif
nyamperin duduk kursi duduk baca berita tiktok anis marah prabowo ganjar enak kamar, negatif
kena marah jemaah, negatif
saran website isi rekam jejak anis a rawan tinggal kasih link narasi anis pandai orasi minim eksekusi biar bantah, negatif
tonton penuh debat capres pilih anis, positif
lanang jenenge anis, netral
gas pol blong anis, netral
anis tinggal prabowo prabowo tinggal pilih rapat jkw jkw tinggal dukung rapat prabowo kacang kacang lupa kulit, negatif
anis besar partai mana karya gagas nonpartisan partai maju pilkada dki pilpres pakai akal sehat nilai kuasa pimpin, positif
pusing benda anak dinangiskan, negatif
damai keras damai adil asli anis publik speakingnya bikin gelenggeleng kepala, positif
lihat betapa elegan sabar nya anis hadap lawan debat sabar senyum, positif
rakyat kecewa janjijanji anis realisasi kingofretorika pemantikkonflik demokrasi, negatif
gus tsar ponpes ploso jombang mojo statmennya dukung no 1 amin anis muhaimin, positif
